No.  Document Id                             Page Rank Values
1.   International_Standard_Book_Number      0.021609857893209093
2.   Digital_object_identifier               0.01311436739206445
3.   United_States                           0.011993962947703902
4.   Wayback_Machine                         0.009745702180928921
5.   English_language                        0.008515054286934377
6.   Spanish_language                        0.008472580535375208
7.   Wikidata                                0.007179008645473611
8.   Geographic_coordinate_system            0.007023729161032131
9.   DMOZ                                    0.006912136776873121
10.  Wikipedia                               0.0068848529623501305
11.  Canada                                  0.0063257202867512945
12.  ISO_639-3                               0.0062380616971839786
13.  ISO_639-1                               0.006214691006459862
14.  Unicode                                 0.0061575377025768815
15.  French_language                         0.005989360970178232
16.  ISO_639-2                               0.005619313351591287
17.  France                                  0.005511817501694655
18.  German_language                         0.005205163825676237
19.  Spain                                   0.005198502458799555
20.  Wikisource                              0.005068416702306825
21.  European_Union                          0.004812202608139735
22.  Linux                                   0.004706866978570523
23.  Latin                                   0.00437956129251284
24.  United_Kingdom                          0.004370630792673346
25.  Malta                                   0.0041994632681427385
26.  Italy                                   0.004130883437789142
27.  JSTOR                                   0.004119620158319282
28.  Mexico                                  0.004073011211708898
29.  Romance_languages                       0.004064529915602012
30.  Morocco                                 0.004019626891517508
31.  Italian_language                        0.0039605199973756795
32.  Portuguese_language                     0.0038983237565625747
33.  Argentina                               0.0038069475166179296
34.  Germany                                 0.003777100909760367
35.  India                                   0.0037086429798005496
36.  United_Nations                          0.0034450029434712898
37.  Indo-European_languages                 0.0033796965337182707
38.  Philippines                             0.0033196202487608462
39.  Europe                                  0.003302605891835436
40.  Brazil                                  0.003228141704205301
41.  Russia                                  0.0031301155453461256
42.  China                                   0.003034038954357905
43.  Portugal                                0.002983326214332098
44.  Australia                               0.002938590240268954
45.  Equator                                 0.0028952101793444113
46.  New_Zealand                             0.002758977395270841
47.  Germanic_languages                      0.0027071632065396754
48.  Japan                                   0.002702479576940116
49.  International_Phonetic_Alphabet         0.0026844074312965477
50.  Turkey                                  0.0026649312919997913
