1: Solar_eclipse
2: Eclipse_of_the_Sun_(film)
3: Eclipse_of_the_Sun_(novel)
4: Solar_eclipse_of_August_11,_1999
5: Solar_prominence
6: Corona
7: Solar_eclipse_of_May_20,_2012
8: Solar_eclipse_of_October_23,_2014
9: Earth
10: Eclipse
11: Moon
12: Sun
13: Occultation
14: New_moon
15: Conjunction_(astronomy_and_astrology)
16: Syzygy_(astronomy)
17: Ecliptic
18: Inclination
19: Lunar_eclipse
20: Apparent_size
21: Line_of_nodes
22: Umbra
23: Natural_phenomenon
24: Supernatural
25: Omen
26: Astronomy
27: Sungazing
28: Eclipse_chasers
29: Annulus_(mathematics)
30: Civil_twilight
31: Diameter
32: Degree_of_arc
33: Apollo_12
34: Cassini%E2%80%93Huygens
35: Space_probe
36: Ellipse
37: Magnitude_of_an_eclipse
38: Perigee
39: Photosphere
40: Apogee
41: Focus_(optics)
42: Aphelion
43: Perihelion
44: Solar_eclipse_of_April_29,_2014
45: Solar_eclipse_of_April_9,_2043
46: Baily%27s_Beads
47: Diamond_ring_effect
48: Penumbra
49: Umbra#Antumbra
50: Orbit_of_the_Moon
51: Orbital_node
52: Inertial_frame_of_reference
53: Sidereal_month
54: Synodic_month
55: Lunar_month
56: Ascending_node
57: Retrograde_motion
58: Draconic_month
59: Anomalistic_month
60: Eclipse_season
61: Apsis
62: Subsolar_point
63: Solar_eclipse_of_July_16,_2186
64: Eclipse_cycle
65: NASA
66: Solar_eclipse_of_June_30,_1973
67: Concorde
68: Solar_eclipse_of_June_25,_2150
69: Solar_eclipse_of_June_20,_1955
70: Saros_cycle
71: Gregorian_calendar
72: Solar_eclipse_of_January_5,_1935
73: Solar_eclipse_of_February_3,_1935
74: Solar_eclipse_of_June_30,_1935
75: Solar_eclipse_of_July_30,_1935
76: Solar_eclipse_of_December_25,_1935
77: Tidal_acceleration
78: Antoine_Caron
79: Assyrian_eclipse
80: Assyrian_people
81: Chronology_of_the_ancient_Near_East
82: Book_of_Joshua
83: Zhong_Kang
84: Impact_event
85: Indian_Ocean
86: Flood_(mythology)
87: Herodotus
88: Thales
89: Eclipse_of_Thales
90: Medes
91: Lydia
92: Halys_River
93: Asia_Minor
94: Xerxes_I
95: Ancient_Greece
96: John_Russell_Hind
97: Sardis
98: Sparta
99: Second_Persian_invasion_of_Greece
100: Shi_Shen
101: Wang_Chong
102: Parmenides
103: Aristotle
104: Good_Friday
105: Crucifixion_darkness_and_eclipse
106: Passover
107: Constantinople
108: Edmund_Halley
109: Solar_eclipse_of_May_3,_1715
110: Solar_eclipse_of_July_8,_1842
111: Daguerreotype
112: Solar_eclipse_of_July_28,_1851
113: Spectroscope
114: Solar_eclipse_of_August_18,_1868
115: John_Fiske_(philosopher)
116: Solar_retinopathy
117: Retina
118: Blindness
119: Solar_viewer
120: Floppy_disk
121: Compact_Disc
122: Pinhole_camera
123: Sunspot
124: Video_camera
125: Digital_camera
126: Chromosphere
127: Solar_flare
128: Solar_eclipse_of_August_1,_2008
129: Novosibirsk
130: Russia
131: Long_focus_lens
132: Eclipse_chasing
133: Solar_cycle
134: Shadow_bands
135: Anisotropy
136: Tests_of_general_relativity#Deflection_of_light_by_the_Sun
137: Albert_Einstein
138: General_relativity
139: Solar_eclipse_of_May_29,_1919
140: Taurus_(constellation)
141: Arthur_Eddington
142: Predictive_power
143: Gravitational_lens
144: Maurice_Allais
145: Allais_effect
146: Erwin_Saxl
147: Mildred_Allen
148: Gravitational_shielding
149: Astronomical_transit
150: Transit_of_Mercury
151: Transit_of_Venus
152: Astronomical_conjunction
153: Vulcan_(hypothetical_planet)
154: Earthshine
155: Lunar_phase
156: Turkey
157: Cyprus
158: International_Space_Station
159: Solar_eclipse_of_March_29,_2006
160: Gemini_12
161: Mir
162: Apollo%E2%80%93Soyuz_Test_Project
163: Solar_corona
164: Solar_eclipse_of_March_20,_2015
165: Synchronous_grid_of_Continental_Europe
166: National_Grid_(Great_Britain)
167: Gigawatt
168: Solar_power
169: Wind_power
170: List_of_solar_eclipses_in_the_21st_century
171: Lists_of_solar_eclipses
172: Lunar_node
173: Lunation
174: Saros_(astronomy)
175: Solar_eclipse_of_February_15,_2018
176: Besselian_elements
177: Black_Sun_(mythology)
178: Solar_eclipses_in_fiction
179: Solar_eclipses_on_the_Moon
180: Transit_of_Deimos_from_Mars
181: Transit_of_Phobos_from_Mars
182: International_Standard_Book_Number
183: Fred_Espenak
184: Wayback_Machine
185: European_Space_Agency
186: Bibcode
187: Digital_object_identifier
188: OCLC
189: Perkins_Observatory
190: B%26H_Photo_Video
191: Philosophical_Transactions_of_the_Royal_Society_A
192: Physical_Review_D
193: ArXiv
194: Astronomy_Picture_of_the_Day
195: European_Network_of_Transmission_System_Operators_for_Electricity
196: Proceedings_of_the_Royal_Society
197: Duncan_Steel
198: Collier%27s_Encyclopedia
199: YouTube
200: List_of_solar_eclipses_in_antiquity
201: List_of_solar_eclipses_in_the_20th_century_BC
202: List_of_solar_eclipses_in_the_19th_century_BC
203: List_of_solar_eclipses_in_the_18th_century_BC
204: List_of_solar_eclipses_in_the_17th_century_BC
205: List_of_solar_eclipses_in_the_16th_century_BC
